TIMESTAMP,RECORD,signal_3_Min(4),signal_3_Min(5),signal_3_Max(4),signal_3_Max(5),signal_3_Avg(4),signal_3_Avg(5),signal_3(4),signal_3(5),temp_3_Min(4),temp_3_Min(5),temp_3_Max(4),temp_3_Max(5),temp_3_Avg(4),temp_3_Avg(5),temp_3(4),temp_3(5),signal_4_Min(1),signal_4_Min(2),signal_4_Min(3),signal_4_Min(4),signal_4_Min(5),signal_4_Min(6),signal_4_Min(7),signal_4_Min(8),signal_4_Min(9),signal_4_Min(10),signal_4_Min(11),signal_4_Min(12),signal_4_Min(13),signal_4_Min(14),signal_4_Min(15),signal_4_Min(16),signal_4_Max(1),signal_4_Max(2),signal_4_Max(3),signal_4_Max(4),signal_4_Max(5),signal_4_Max(6),signal_4_Max(7),signal_4_Max(8),signal_4_Max(9),signal_4_Max(10),signal_4_Max(11),signal_4_Max(12),signal_4_Max(13),signal_4_Max(14),signal_4_Max(15),signal_4_Max(16),signal_4_Avg(1),signal_4_Avg(2),signal_4_Avg(3),signal_4_Avg(4),signal_4_Avg(5),signal_4_Avg(6),signal_4_Avg(7),signal_4_Avg(8),signal_4_Avg(9),signal_4_Avg(10),signal_4_Avg(11),signal_4_Avg(12),signal_4_Avg(13),signal_4_Avg(14),signal_4_Avg(15),signal_4_Avg(16),signal_4(1),signal_4(2),signal_4(3),signal_4(4),signal_4(5),signal_4(6),signal_4(7),signal_4(8),signal_4(9),signal_4(10),signal_4(11),signal_4(12),signal_4(13),signal_4(14),signal_4(15),signal_4(16),temp_4_Min(1),temp_4_Min(2),temp_4_Min(3),temp_4_Min(4),temp_4_Min(5),temp_4_Min(6),temp_4_Min(7),temp_4_Min(8),temp_4_Min(9),temp_4_Min(10),temp_4_Min(11),temp_4_Min(12),temp_4_Min(13),temp_4_Min(14),temp_4_Min(15),temp_4_Min(16),temp_4_Max(1),temp_4_Max(2),temp_4_Max(3),temp_4_Max(4),temp_4_Max(5),temp_4_Max(6),temp_4_Max(7),temp_4_Max(8),temp_4_Max(9),temp_4_Max(10),temp_4_Max(11),temp_4_Max(12),temp_4_Max(13),temp_4_Max(14),temp_4_Max(15),temp_4_Max(16),temp_4_Avg(1),temp_4_Avg(2),temp_4_Avg(3),temp_4_Avg(4),temp_4_Avg(5),temp_4_Avg(6),temp_4_Avg(7),temp_4_Avg(8),temp_4_Avg(9),temp_4_Avg(10),temp_4_Avg(11),temp_4_Avg(12),temp_4_Avg(13),temp_4_Avg(14),temp_4_Avg(15),temp_4_Avg(16),temp_4(1),temp_4(2),temp_4(3),temp_4(4),temp_4(5),temp_4(6),temp_4(7),temp_4(8),temp_4(9),temp_4(10),temp_4(11),temp_4(12),temp_4(13),temp_4(14),temp_4(15),temp_4(16)
TS,RN,mV,mV,mV,mV,mV,mV,mV,mV,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C
,,Min,Min,Max,Max,Avg,Avg,Smp,Smp,Min,Min,Max,Max,Avg,Avg,Smp,Smp,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Max,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
4/6/16 9:00,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-88.4,-85.9,-87.5,-85.6,-87.9,-85.7,-88.4,-85.6,44.02,40.73,34.49,41.97,30.42,0.907,0.168,0.235,0.067,43.96,0.235,NAN,NAN,NAN,NAN,NAN,44.09,40.77,34.76,42.01,30.49,0.94,0.168,0.235,0.067,44.02,0.235,NAN,NAN,NAN,NAN,NAN,44.06,40.75,34.62,41.99,30.46,0.923,0.168,0.235,0.067,43.99,0.235,NAN,NAN,NAN,NAN,NAN,44.02,40.73,34.49,41.97,30.42,0.94,0.168,0.235,0.067,44.02,0.235,NAN,NAN,NAN,NAN,NAN,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2
4/6/16 9:00,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-88.4,-85.9,-87.5,-85.6,-87.9,-85.7,-88.4,-85.6,44.02,40.73,34.49,41.97,30.42,0.907,0.168,0.235,0.067,43.96,0.235,NAN,NAN,NAN,NAN,NAN,44.09,40.77,34.76,42.01,30.49,0.94,0.168,0.235,0.067,44.02,0.235,NAN,NAN,NAN,NAN,NAN,44.06,40.75,34.62,41.99,30.46,0.923,0.168,0.235,0.067,43.99,0.235,NAN,NAN,NAN,NAN,NAN,44.02,40.73,34.49,41.97,30.42,0.94,0.168,0.235,0.067,44.02,0.235,NAN,NAN,NAN,NAN,NAN,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2
4/6/16 10:00,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-87.9,-85.6,-87.1,-84.9,-87.3,-85.3,-87.1,-85.2,43.94,40.72,33.34,41.9,30.41,0.94,0.168,0.235,0.067,43.07,0.235,NAN,NAN,NAN,NAN,NAN,44.02,40.73,34.48,42.04,30.42,0.974,0.168,0.235,0.067,43.72,0.235,NAN,NAN,NAN,NAN,NAN,43.97,40.72,33.8,41.96,30.42,0.957,0.168,0.235,0.067,43.28,0.235,NAN,NAN,NAN,NAN,NAN,43.95,40.72,33.81,41.93,30.42,0.94,0.168,0.235,0.067,43.11,0.235,NAN,NAN,NAN,NAN,NAN,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2
4/8/16 16:00,2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-86.3,-85.6,-85.6,-84.9,-85.9,-85.2,-86.3,-85.6,43.5,39.77,34.74,42.29,30.81,0.906,0.168,0.235,0.067,36.65,0.235,NAN,NAN,NAN,NAN,NAN,43.56,39.77,34.77,42.32,30.91,0.94,0.168,0.235,0.067,37.15,0.235,NAN,NAN,NAN,NAN,NAN,43.53,39.77,34.75,42.31,30.86,0.923,0.168,0.235,0.067,36.9,0.235,NAN,NAN,NAN,NAN,NAN,43.5,39.77,34.74,42.29,30.81,0.94,0.168,0.235,0.067,36.65,0.235,NAN,NAN,NAN,NAN,NAN,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2
4/8/16 17:00,3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-87.9,-86.7,-87.1,-86.3,-87.5,-86.6,-87.5,-86.7,43.39,39.77,34.47,42.25,30.71,0.94,0.168,0.235,0.067,32.96,0.235,NAN,NAN,NAN,NAN,NAN,43.46,39.84,34.63,42.39,30.74,0.973,0.168,0.235,0.067,37.12,0.235,NAN,NAN,NAN,NAN,NAN,43.41,39.82,34.5,42.32,30.73,0.962,0.168,0.235,0.067,34.83,0.235,NAN,NAN,NAN,NAN,NAN,43.4,39.84,34.47,42.32,30.71,0.94,0.168,0.235,0.067,32.96,0.235,NAN,NAN,NAN,NAN,NAN,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2
4/8/16 18:00,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-88.4,-87.5,-87.5,-86.7,-87.9,-87.2,-88.4,-87.5,43.43,39.84,34.43,42.32,30.71,0.906,0.168,0.235,0.067,28.59,0.235,NAN,NAN,NAN,NAN,NAN,43.6,39.84,34.63,42.36,30.74,0.94,0.168,0.235,0.067,32.79,0.235,NAN,NAN,NAN,NAN,NAN,43.49,39.84,34.53,42.33,30.73,0.912,0.168,0.235,0.067,30.69,0.235,NAN,NAN,NAN,NAN,NAN,43.6,39.84,34.57,42.36,30.71,0.906,0.168,0.235,0.067,28.59,0.235,NAN,NAN,NAN,NAN,NAN,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2
4/8/16 19:00,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-87.9,-87.5,-87.1,-86.7,-87.5,-87.2,-87.1,-86.7,43.6,39.84,34.6,42.39,30.68,0.906,0.168,0.235,0.067,29.23,0.235,NAN,NAN,NAN,NAN,NAN,43.8,39.84,34.84,42.49,30.68,0.906,0.168,0.235,0.067,32.26,0.235,NAN,NAN,NAN,NAN,NAN,43.7,39.84,34.72,42.43,30.68,0.906,0.168,0.235,0.067,30.07,0.235,NAN,NAN,NAN,NAN,NAN,43.8,39.84,34.84,42.49,30.68,0.906,0.168,0.235,0.067,32.26,0.235,NAN,NAN,NAN,NAN,NAN,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2
4/8/16 20:00,6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-87.5,-87.1,-86.7,-86.3,-87.1,-86.6,-87.1,-86.3,43.8,39.81,34.81,42.53,30.61,0.906,0.168,0.235,0.067,28.43,0.235,NAN,NAN,NAN,NAN,NAN,43.94,39.84,34.91,42.6,30.61,0.906,0.168,0.235,0.067,36.49,0.235,NAN,NAN,NAN,NAN,NAN,43.87,39.82,34.86,42.57,30.61,0.906,0.168,0.235,0.067,30.91,0.235,NAN,NAN,NAN,NAN,NAN,43.94,39.81,34.88,42.6,30.61,0.906,0.168,0.235,0.067,36.49,0.235,NAN,NAN,NAN,NAN,NAN,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2,-273.2
