TIMESTAMP,signal_4_Avg(1),signal_4_Avg(2),signal_4_Avg(3),signal_4_Avg(4),signal_4_Avg(5),signal_4_Avg(6),signal_4_Avg(7),signal_4_Avg(8),signal_4_Avg(9),signal_4_Avg(10),signal_4_Avg(11)
4/6/16 9:00,44.06,40.75,34.62,41.99,30.46,0.923,0.168,0.235,0.067,43.99,0.235
4/6/16 9:00,44.06,40.75,34.62,41.99,30.46,0.923,0.168,0.235,0.067,43.99,0.235
4/6/16 10:00,43.97,40.72,33.8,41.96,30.42,0.957,0.168,0.235,0.067,43.28,0.235
4/8/16 16:00,43.53,39.77,34.75,42.31,30.86,0.923,0.168,0.235,0.067,36.9,0.235
4/8/16 17:00,43.41,39.82,34.5,42.32,30.73,0.962,0.168,0.235,0.067,34.83,0.235
4/8/16 18:00,43.49,39.84,34.53,42.33,30.73,0.912,0.168,0.235,0.067,30.69,0.235
4/8/16 19:00,43.7,39.84,34.72,42.43,30.68,0.906,0.168,0.235,0.067,30.07,0.235
4/8/16 20:00,43.87,39.82,34.86,42.57,30.61,0.906,0.168,0.235,0.067,30.91,0.235
4/8/16 21:00,43.94,39.84,34.88,42.65,30.62,0.89,0.168,0.235,0.067,40.73,0.235
4/8/16 22:00,43.99,39.85,34.85,42.65,30.59,0.873,0.168,0.235,0.067,39.38,0.235
4/8/16 23:00,44.1,39.95,34.77,42.63,30.6,0.867,0.168,0.235,0.073,41.74,0.235
4/9/16 0:00,44.28,40.27,34.66,42.78,30.55,0.856,0.168,0.235,0.073,40.1,0.235
4/9/16 1:00,44.48,40.66,34.62,43.17,30.55,0.839,0.168,0.235,0.078,29.91,0.235
4/9/16 2:00,44.64,40.87,34.54,43.45,30.49,0.839,0.168,0.235,0.084,36.41,0.235
4/9/16 3:00,44.77,40.92,34.39,43.58,30.45,0.839,0.168,0.235,0.067,55.07,0.235
4/9/16 4:00,44.94,40.92,34.35,43.67,30.41,0.839,0.168,0.235,0.073,54.05,0.235
4/9/16 5:00,45.14,40.92,34.31,43.63,30.41,0.839,0.168,0.235,0.084,53.31,0.235
4/9/16 6:00,45.4,40.93,34.36,43.56,30.41,0.839,0.168,0.235,0.084,53.41,0.235
